EUBO	ELBO	ESS	IWKLs_ex	IWKLs_in	AKLs_ex	AKLs_in
-308.577	-856.364	1.092	657.474	23.670	657.474	23.670
-279.063	-705.502	1.109	507.308	22.874	507.308	22.874
-264.457	-604.586	1.129	405.806	22.531	405.806	22.531
-254.636	-536.750	1.140	337.135	22.447	337.135	22.447
-249.091	-492.014	1.151	293.991	22.430	293.991	22.430
-246.690	-464.077	1.160	265.665	22.444	265.665	22.444
-243.416	-443.726	1.170	245.741	22.391	245.741	22.391
-241.280	-428.505	1.185	231.251	22.216	231.251	22.216
-240.259	-418.297	1.206	219.788	22.018	219.788	22.018
-238.331	-407.436	1.218	208.311	21.912	208.311	21.912
-236.303	-395.618	1.234	197.484	21.757	197.484	21.757
-234.063	-384.215	1.253	188.614	21.538	188.614	21.538
-233.079	-378.795	1.269	179.948	21.376	179.948	21.376
-231.371	-368.427	1.291	171.021	21.244	171.021	21.244
-229.993	-360.814	1.310	162.929	21.102	162.929	21.102
-229.113	-352.934	1.327	154.842	20.941	154.842	20.941
-228.097	-347.179	1.340	148.550	20.803	148.550	20.803
-226.615	-341.421	1.359	141.894	20.795	141.894	20.795
-225.720	-335.522	1.387	137.286	20.658	137.286	20.658
-224.976	-330.744	1.386	132.139	20.679	132.139	20.679
-224.560	-326.793	1.405	128.043	20.651	128.043	20.651
-223.560	-322.372	1.422	124.835	20.495	124.835	20.495
-223.042	-319.629	1.433	121.752	20.372	121.752	20.372
-222.901	-317.047	1.455	118.206	20.297	118.206	20.297
-221.675	-313.136	1.469	115.100	20.163	115.100	20.163
-221.285	-310.820	1.487	112.445	20.072	112.445	20.072
-220.800	-308.935	1.500	110.557	19.963	110.557	19.963
-220.275	-307.544	1.512	108.916	19.758	108.916	19.758
-219.739	-305.445	1.522	107.079	19.621	107.079	19.621
-219.852	-304.203	1.528	105.067	19.526	105.067	19.526
-219.155	-301.831	1.528	103.684	19.389	103.684	19.389
-218.558	-300.019	1.548	101.595	19.290	101.595	19.290
-217.972	-299.122	1.553	100.674	19.070	100.674	19.070
-218.097	-298.065	1.566	99.858	18.845	99.858	18.845
-217.152	-296.869	1.575	98.665	18.757	98.665	18.757
-216.903	-296.197	1.586	96.891	18.674	96.891	18.674
-216.633	-295.463	1.597	97.048	18.461	97.048	18.461
-216.167	-294.627	1.594	96.904	18.308	96.904	18.308
-215.859	-294.351	1.602	95.721	18.278	95.721	18.278
-215.624	-293.335	1.606	95.214	18.179	95.214	18.179
-215.297	-293.051	1.623	94.906	18.099	94.906	18.099
-214.942	-293.228	1.629	94.686	18.003	94.686	18.003
-215.054	-292.962	1.628	94.294	17.917	94.294	17.917
-214.688	-292.059	1.640	93.456	17.903	93.456	17.903
-214.623	-291.960	1.645	92.962	17.866	92.962	17.866
-214.204	-290.978	1.650	92.466	17.795	92.466	17.795
-213.815	-291.999	1.652	92.608	17.557	92.608	17.557
-213.953	-291.915	1.648	92.545	17.439	92.545	17.439
-213.862	-290.815	1.663	92.307	17.430	92.307	17.430
-213.487	-290.138	1.662	91.250	17.469	91.250	17.469
-213.012	-290.006	1.667	91.041	17.399	91.041	17.399
-213.075	-289.040	1.681	91.056	17.388	91.056	17.388
-212.772	-289.631	1.682	91.253	17.315	91.253	17.315
-212.809	-289.778	1.704	90.716	17.264	90.716	17.264
-212.323	-288.701	1.694	90.356	17.189	90.356	17.189
-212.247	-288.497	1.706	90.394	17.140	90.394	17.140
-212.359	-288.436	1.707	90.136	17.126	90.136	17.126
-212.070	-287.818	1.713	89.687	17.092	89.687	17.092
-212.049	-287.797	1.721	89.401	17.009	89.401	17.009
-211.931	-287.760	1.733	89.237	16.892	89.237	16.892
-211.675	-287.309	1.740	88.718	16.877	88.718	16.877
-211.803	-287.456	1.748	88.385	16.741	88.385	16.741
-211.394	-286.714	1.752	88.049	16.635	88.049	16.635
-211.113	-286.914	1.767	88.081	16.543	88.081	16.543
-210.938	-285.945	1.767	87.574	16.444	87.574	16.444
-210.953	-286.002	1.779	87.248	16.392	87.248	16.392
-210.703	-285.337	1.787	86.699	16.429	86.699	16.429
-211.148	-285.639	1.791	86.999	16.317	86.999	16.317
-210.746	-284.293	1.820	86.349	16.299	86.349	16.299
-210.716	-284.680	1.816	85.903	16.198	85.903	16.198
-210.557	-284.543	1.807	85.942	16.002	85.942	16.002
-210.084	-283.331	1.822	85.333	15.894	85.333	15.894
-210.506	-283.021	1.822	84.642	15.791	84.642	15.791
-210.155	-282.741	1.827	84.225	15.695	84.225	15.695
-210.148	-282.147	1.843	83.535	15.682	83.535	15.682
-209.971	-281.968	1.842	83.634	15.591	83.634	15.591
-210.180	-282.826	1.852	84.067	15.484	84.067	15.484
-209.964	-282.004	1.853	83.635	15.363	83.635	15.363
-209.946	-282.266	1.852	83.466	15.301	83.466	15.301
-209.658	-281.212	1.870	83.072	15.101	83.072	15.101
-209.795	-279.768	1.884	81.580	15.206	81.580	15.206
-209.646	-280.534	1.895	81.648	15.124	81.648	15.124
-209.173	-280.634	1.878	81.539	14.973	81.539	14.973
-209.342	-279.377	1.885	80.969	14.849	80.969	14.849
-208.956	-278.683	1.895	80.594	14.844	80.594	14.844
-209.260	-278.170	1.899	79.699	14.865	79.699	14.865
-208.846	-278.016	1.909	79.554	14.793	79.554	14.793
-208.749	-276.880	1.909	78.870	14.745	78.870	14.745
-209.196	-278.017	1.914	78.928	14.665	78.928	14.665
-209.013	-277.100	1.908	78.144	14.595	78.144	14.595
-208.674	-276.423	1.936	77.610	14.511	77.610	14.511
-208.165	-275.917	1.922	77.561	14.353	77.561	14.353
-208.355	-275.420	1.935	76.915	14.349	76.915	14.349
-208.551	-275.536	1.928	77.103	14.305	77.103	14.305
-208.759	-275.567	1.933	76.861	14.188	76.861	14.188
-208.222	-275.105	1.928	76.393	14.176	76.393	14.176
-208.358	-274.685	1.941	76.062	14.076	76.062	14.076
-208.287	-273.610	1.935	75.347	14.157	75.347	14.157
-207.990	-273.635	1.943	75.106	14.042	75.106	14.042
-208.198	-273.754	1.957	74.665	14.115	74.665	14.115
-207.772	-273.307	1.954	74.568	14.020	74.568	14.020
-207.587	-273.269	1.951	74.607	13.880	74.607	13.880
-207.747	-273.149	1.943	74.388	13.834	74.388	13.834
-207.504	-271.365	1.969	73.400	13.849	73.400	13.849
-207.438	-271.477	1.960	72.982	13.853	72.982	13.853
-207.313	-270.650	1.977	72.579	13.870	72.579	13.870
-207.239	-271.168	1.972	72.708	13.704	72.708	13.704
-207.260	-270.532	1.977	72.170	13.777	72.170	13.777
-207.431	-270.874	1.970	72.172	13.721	72.172	13.721
-207.055	-270.862	1.982	72.482	13.591	72.482	13.591
-207.385	-271.885	1.994	72.964	13.510	72.964	13.510
-207.568	-271.412	1.987	72.867	13.463	72.867	13.463
-207.137	-270.328	2.008	72.041	13.493	72.041	13.493
-207.332	-270.144	2.001	71.511	13.492	71.511	13.492
-207.207	-269.649	2.002	71.055	13.522	71.055	13.522
-207.137	-269.495	2.019	71.016	13.452	71.016	13.452
-207.056	-269.722	2.007	70.884	13.449	70.884	13.449
-206.811	-268.807	2.009	70.336	13.401	70.336	13.401
-206.777	-269.050	2.011	70.668	13.310	70.668	13.310
