EUBO	ELBO	ESS	KLs_eta_ex	KLs_eta_in	KLs_z_ex	KLs_z_in
-1213.296	-1515.008	1.020	1188.891	178.839	400.271	44.998
-1164.121	-1455.905	1.023	1129.198	176.652	381.747	44.317
-1118.390	-1398.085	1.023	1069.825	174.397	363.439	43.572
-1076.050	-1341.919	1.023	1014.165	171.809	348.130	43.001
-1035.367	-1289.004	1.026	960.942	169.415	328.680	42.092
-994.170	-1236.284	1.028	908.884	167.151	310.865	41.299
-955.687	-1186.036	1.028	859.589	165.037	296.379	40.646
-917.892	-1137.619	1.031	809.351	163.005	275.938	39.706
-882.975	-1092.126	1.030	764.672	161.034	259.947	38.817
-849.845	-1047.747	1.034	719.019	158.724	243.901	37.858
-818.349	-1006.614	1.034	678.654	156.828	228.207	36.925
-788.740	-967.115	1.039	639.457	155.023	212.029	35.908
-760.635	-929.147	1.038	601.110	153.076	196.417	34.929
-734.611	-893.898	1.044	565.150	151.496	180.921	33.812
-708.982	-859.542	1.042	531.726	149.805	166.716	32.663
-686.144	-828.073	1.046	500.363	148.090	153.269	31.510
-664.812	-799.342	1.049	471.607	146.976	140.830	30.467
-644.600	-772.050	1.052	443.341	145.515	128.843	29.214
-626.605	-746.710	1.057	418.212	144.779	117.189	28.059
-609.970	-723.561	1.062	395.895	143.806	107.891	26.899
-595.710	-703.024	1.065	374.844	143.088	98.756	25.773
-581.755	-684.111	1.069	355.994	142.591	89.253	24.610
-570.060	-667.115	1.076	339.374	142.346	81.838	23.503
-559.095	-652.226	1.077	324.352	142.391	75.004	22.440
-549.524	-638.609	1.080	310.980	141.814	70.177	21.519
-540.670	-626.210	1.088	298.239	142.451	65.308	20.533
-532.994	-615.421	1.090	287.722	142.980	60.168	19.608
-526.073	-605.217	1.098	277.289	143.318	56.181	18.831
-519.088	-596.037	1.105	269.076	144.190	52.941	18.127
-513.413	-587.608	1.110	259.769	145.197	49.669	17.424
-508.101	-579.721	1.118	252.413	145.898	47.821	16.899
-503.160	-573.120	1.117	245.464	147.076	46.550	16.511
-498.234	-566.511	1.127	238.953	147.842	44.294	16.075
-494.331	-560.130	1.129	232.876	148.864	43.055	15.765
-489.829	-554.578	1.133	227.036	150.097	41.399	15.436
-485.998	-548.904	1.138	221.586	151.207	39.710	15.015
-482.655	-543.899	1.146	215.986	152.307	38.709	14.776
-478.615	-538.532	1.148	211.275	153.058	37.092	14.466
-475.948	-534.252	1.157	206.436	154.188	36.378	14.210
-472.377	-529.639	1.161	202.100	155.044	35.562	13.974
-468.815	-525.218	1.166	197.851	155.849	34.150	13.691
-466.453	-521.253	1.168	193.807	156.384	32.719	13.393
-463.580	-517.347	1.171	189.593	157.011	32.192	13.265
-460.973	-513.496	1.181	186.224	157.657	31.831	13.134
-458.280	-509.961	1.184	182.035	158.117	30.594	12.799
-455.877	-506.335	1.189	179.042	158.604	30.027	12.624
-453.434	-503.366	1.198	175.654	159.135	28.834	12.314
-451.058	-499.749	1.195	172.247	159.311	28.434	12.241
-448.978	-496.740	1.203	169.148	160.109	26.843	11.901
-446.757	-493.830	1.208	166.324	160.301	27.008	11.858
-444.190	-490.794	1.210	163.492	160.909	26.365	11.625
-442.943	-488.468	1.213	160.651	160.995	25.970	11.547
-440.453	-485.391	1.219	158.061	161.597	25.338	11.389
